RI	Common Name	Plant source	Reference
1590	viridflorol	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1607	b-oplopenone	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1608	humulene epoxide II	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1609	humulene epoxide II	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1612	tetradecanal	CEGR	Lucero et. al.,  Journal of essential oil research (in press).
1612	β-himachalene oxide	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1619	10-epi-gamma-eudesmol	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1623	silphiperfol-6-en-5-one	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1628	1-epi-cubenol	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1628	1-epi-cubenol	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1629	eremoligensol	KOSP	current study
1629	1-epi-cubenol	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1631	g-eudesmol	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1632	(Z)-3-hexenyl-phenyl-acetate	CEGR	Lucero et. al.,  Journal of essential oil research (in press).
1633	y-eudesmol	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1639	hinesol	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1640	epi-a-cadinol	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
1641	muurolol	KOSP	current study
1642	cubenol	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1642	epi-a-muurolol	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1643	cubenol	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1646	a-muurolol	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
1646	a-muurolol	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1646	himachalol	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1650	β-eudesmol	CEGR	Lucero et. al.,  Journal of essential oil research (in press).
1650	β-eudesmol	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1650	β-eudesmol	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1651	β-eudesmol	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1651	β-eudesmol	KOSP	current study
1653	a-cadinol	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
1653	a-eudesmol	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1653	selin-11-en-4alpha-ol	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1656	neo-intermedeol	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1658	1-epi-a-eudesmol	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1668	bulnesol	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1668	bulnesol	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1672	β-bisabolol	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1674	cadalene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1675	methyl-epi-jasmonate	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1682	a-bisabolol	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
